file,year,subject,problem,risk_type,dependency,recommended_action
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,1,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,2,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,3,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,4,THEOREM_DEP,"Eisenstein, Galois",Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,5,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,6,THEOREM_DEP,representation theory,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,7,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,8,THEOREM_DEP,Mason-Stothers,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,9,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,10,THEOREM_DEP,"Eisenstein, Galois",Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,11,STATEMENT_RISK+THEOREM_DEP,"Sylow, false",Keep original statement; add counterexample/missing-hypothesis note and prove corrected intended version.
latex-project/content/split_algebra/algebra_2010.tex,2010,algebra,12,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,1,THEOREM_DEP,Galois,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,2,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,3,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,4,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,5,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,6,THEOREM_DEP,Sylow,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,7,THEOREM_DEP,,Classify dependency as allowed prerequisite or expand proof/special case if it is the tested point.
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,8,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,9,OK,,No action unless subject reviewer finds a mathematical gap.
latex-project/content/split_algebra/algebra_2011.tex,2011,algebra,10,OK,,No action unless subject reviewer finds a mathematical gap.
